part,exercise,dynamic,source_note,target_note,interval_semitones,start_beat,instruction
VlnI,legato,mp,60,55,-5,0.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,56,-4,5.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,57,-3,10.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,58,-2,15.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,59,-1,20.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,61,1,25.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,62,2,30.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,63,3,35.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,64,4,40.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,65,5,45.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,67,7,50.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,60,72,12,55.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,57,-7,60.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,59,-5,65.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,60,-4,70.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,61,-3,75.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,62,-2,80.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,63,-1,85.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,65,1,90.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,66,2,95.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,67,3,100.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,68,4,105.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,69,5,110.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,71,7,115.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,64,76,12,120.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,55,-12,125.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,60,-7,130.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,62,-5,135.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,63,-4,140.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,64,-3,145.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,65,-2,150.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,66,-1,155.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,68,1,160.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,69,2,165.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,70,3,170.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,71,4,175.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,72,5,180.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,74,7,185.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,67,79,12,190.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,60,-12,195.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,65,-7,200.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,67,-5,205.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,68,-4,210.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,69,-3,215.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,70,-2,220.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,71,-1,225.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,73,1,230.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,74,2,235.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,75,3,240.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,76,4,245.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,77,5,250.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,79,7,255.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,72,84,12,260.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,64,-12,265.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,69,-7,270.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,71,-5,275.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,72,-4,280.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,73,-3,285.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,74,-2,290.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,75,-1,295.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,77,1,300.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,78,2,305.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,79,3,310.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,80,4,315.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,81,5,320.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,83,7,325.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,76,88,12,330.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,67,-12,335.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,72,-7,340.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,74,-5,345.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,75,-4,350.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,76,-3,355.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,77,-2,360.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,78,-1,365.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,80,1,370.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,81,2,375.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,82,3,380.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,83,4,385.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,84,5,390.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,79,86,7,395.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,72,-12,400.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,77,-7,405.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,79,-5,410.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,80,-4,415.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,81,-3,420.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,82,-2,425.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,83,-1,430.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,85,1,435.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,86,2,440.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,87,3,445.0,connect naturally; preserve bow/finger noise
VlnI,legato,mp,84,88,4,450.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,55,-5,455.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,56,-4,460.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,57,-3,465.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,58,-2,470.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,59,-1,475.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,61,1,480.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,62,2,485.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,63,3,490.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,64,4,495.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,65,5,500.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,67,7,505.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,60,72,12,510.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,57,-7,515.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,59,-5,520.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,60,-4,525.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,61,-3,530.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,62,-2,535.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,63,-1,540.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,65,1,545.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,66,2,550.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,67,3,555.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,68,4,560.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,69,5,565.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,71,7,570.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,64,76,12,575.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,55,-12,580.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,60,-7,585.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,62,-5,590.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,63,-4,595.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,64,-3,600.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,65,-2,605.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,66,-1,610.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,68,1,615.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,69,2,620.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,70,3,625.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,71,4,630.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,72,5,635.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,74,7,640.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,67,79,12,645.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,60,-12,650.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,65,-7,655.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,67,-5,660.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,68,-4,665.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,69,-3,670.0,connect naturally; preserve bow/finger noise
