part,exercise,bpm,articulation,speed_profile,source_note,target_note,interval_semitones,cc3,target_vibrato_depth_cents,instruction
VlnI,vibrato_depth_rate,58,expressive,slow,60,60,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,60,60,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,60,60,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,60,60,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,60,60,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,60,60,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,60,60,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,60,60,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,60,60,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,60,60,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,60,60,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,60,60,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,60,60,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,60,60,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,60,60,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,67,67,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,67,67,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,67,67,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,67,67,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,67,67,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,67,67,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,67,67,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,67,67,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,67,67,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,67,67,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,67,67,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,67,67,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,67,67,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,67,67,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,67,67,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,72,72,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,72,72,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,72,72,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,72,72,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,slow,72,72,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,72,72,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,72,72,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,72,72,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,72,72,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,normal,72,72,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,72,72,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,72,72,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,72,72,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,72,72,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,58,expressive,fast,72,72,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,60,60,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,60,60,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,60,60,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,60,60,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,60,60,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,60,60,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,60,60,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,60,60,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,60,60,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,60,60,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,fast,60,60,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,fast,60,60,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,fast,60,60,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,fast,60,60,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,fast,60,60,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,67,67,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,67,67,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,67,67,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,67,67,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,slow,67,67,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,67,67,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,67,67,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,67,67,0,64,28.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,67,67,0,96,48.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,normal,67,67,0,127,72.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,fast,67,67,0,0,0.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
VlnI,vibrato_depth_rate,68,expressive,fast,67,67,0,32,12.0,4 beats; CC3 controls depth; speed profile requests slow/normal/fast human vibrato rate without metronome phase-lock
